#OTU ID	Control1	Control2	Control3	Control4	Control5	COPD1	COPD2	COPD3	COPD4	COPD5	LO1	LO2	LO3	LO4	LO5	LS_LO1	LS_LO2	LS_LO3	LS_LO4	LS_LO5	LS1	LS2	LS3	LS4	LS5
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;__;__	0	2	121	0	0	0	211	0	186	0	0	0	0	0	0	0	0	0	0	0	0	7	0	27	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter	0	62	62	0	0	78	0	11	0	118	0	0	0	0	0	0	0	0	142	0	0	14	37	27	0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter	0	56	0	0	0	73	0	90	0	0	0	0	1	0	0	0	0	0	16	0	43	33	28	52	95
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Skermanella	0	0	0	0	3	0	0	2	0	0	0	0	0	0	4	0	2	0	415	0	0	0	10	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia	0	0	4	0	0	0	0	0	0	0	339	71	1	0	0	0	0	0	0	0	0	6	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Bordetella	0	48	6	0	0	66	0	0	0	41	0	0	24	1	1	0	0	0	0	30	44	35	35	67	0
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	148	110	0	9	0	1	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Brucellaceae;g__Ochrobactrum	1	7	0	228	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	27	74	3
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0	9	0	0	0	0	0	0	2	0	0	1	79	0	1	53	0	0	136	0	93	2	0	2	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Cellvibrio	0	31	73	0	51	97	0	0	0	26	0	28	0	0	0	0	0	0	0	0	5	14	14	35	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;__	0	15	9	0	0	5	0	0	140	56	0	0	0	0	0	15	0	36	40	0	20	18	0	7	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Aquincola	0	29	0	0	0	26	0	0	0	65	0	0	0	0	0	0	0	0	0	0	192	0	43	0	0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__	0	51	0	0	0	37	2	0	0	61	0	0	0	0	0	89	0	0	0	0	0	24	6	51	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Curvibacter	0	30	95	0	0	35	0	0	66	0	0	0	0	0	0	0	39	0	0	0	0	5	35	15	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;__;__	0	18	0	0	39	0	0	0	0	0	1	1	32	0	45	3	0	0	34	27	0	72	0	44	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__;__	29	7	0	1	58	3	0	24	0	0	0	4	0	1	0	0	49	1	55	0	23	16	1	18	6
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus]	0	18	0	155	0	4	0	0	0	31	0	0	0	1	0	0	0	0	0	0	0	32	0	17	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;__	2	6	0	0	0	0	114	2	2	0	0	0	1	18	9	0	0	0	36	1	1	6	0	29	17
k__Bacteria;p__[Thermi];c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus	0	8	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	35	72	11	72	7	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phyllobacteriaceae;g__Aminobacter	0	18	0	0	61	0	0	0	60	0	0	0	0	0	0	0	0	48	0	0	0	7	18	21	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium	0	0	19	0	0	37	0	0	0	78	0	36	0	0	0	0	0	0	23	3	0	22	7	7	0
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__	0	0	0	0	0	65	125	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Flexispira	0	33	0	0	0	33	0	0	0	0	0	0	79	0	0	0	0	1	0	0	53	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Olivibacter	0	0	0	0	0	0	0	2	0	0	0	0	176	0	0	0	0	0	0	0	0	3	12	0	0
k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Chroococcales;f__Xenococcaceae;__	0	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium	0	38	22	0	0	17	0	0	0	20	0	0	32	0	23	0	0	0	0	2	0	4	0	30	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;__	2	42	0	0	42	12	0	0	0	0	0	0	0	0	0	0	0	0	23	0	10	34	2	20	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus	0	14	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	10	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;g__Hydrogenophilus	0	0	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;__	0	16	16	0	0	0	0	0	44	3	0	0	17	5	0	0	0	19	0	16	0	4	14	0	21
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Azotobacter	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	25	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira	0	8	0	0	54	0	0	0	0	0	0	34	0	0	0	0	0	0	27	1	15	14	0	14	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Dysgonomonas	0	14	0	0	0	24	0	0	0	69	0	0	0	0	0	0	0	24	0	0	0	13	21	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Jeotgalicoccus	0	0	1	0	0	0	0	0	0	0	0	44	0	0	38	0	0	0	0	0	58	10	12	0	2
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae];g__Sporanaerobacter	0	17	0	0	2	16	0	0	0	57	0	0	0	0	0	0	39	2	0	0	0	0	30	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	0	33	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	84	0	0	5	24	12	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus	0	0	5	0	0	0	32	0	10	0	22	12	0	8	40	10	4	0	6	0	0	13	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Ralstonia	0	0	0	0	0	23	0	0	0	57	0	0	0	0	0	0	0	0	53	0	0	0	0	24	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;__	0	12	23	0	2	14	0	0	0	23	0	0	0	0	0	58	0	0	3	0	3	7	0	7	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;__	0	5	0	0	59	7	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	9	30	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Variovorax	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	44	0	0	30	20	0	9	17	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;__	0	46	0	0	0	0	17	0	15	40	0	0	0	0	0	5	0	0	1	3	0	13	0	2	0
k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter	0	0	0	118	0	3	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__BD7-3;f__;g__	0	0	0	0	51	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	1	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__	0	1	0	0	66	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	16	0	2	19	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio	0	13	0	0	0	5	0	0	0	0	0	0	52	0	43	0	0	0	0	0	0	11	0	10	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter	0	14	0	2	0	0	0	45	0	20	1	0	0	2	0	0	0	0	0	0	0	0	0	0	47
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Allobaculum	0	0	0	0	106	4	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	11	0	7	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__	0	16	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	35	0	47	17	0	0	0
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales;f__Mycoplasmataceae;g__Mycoplasma	0	0	0	0	0	9	0	0	0	31	0	0	0	0	0	0	0	0	0	0	76	0	9	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__	0	32	0	0	2	9	0	0	0	0	0	0	0	0	0	0	59	0	0	0	4	7	0	11	0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;__	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	20	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Pandoraea	0	30	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	8	0	17	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__;g__	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	1	28	0	0
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Arcobacter	0	1	0	0	0	29	0	0	0	0	0	49	0	0	0	1	0	0	0	0	0	8	0	20	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;__	0	6	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	3	23	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Acidaminococcus	0	0	0	0	63	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	6	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Aquitalea	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	9	18	20	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Kocuria	25	0	0	0	0	0	0	0	0	45	0	0	0	0	23	0	0	0	0	0	0	5	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Ignatzschineria	0	9	0	0	39	0	0	0	0	45	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;__;__	0	11	25	0	0	2	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	1	1	1	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__;g__	0	0	0	0	0	30	0	0	0	0	0	0	63	0	0	1	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Vagococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	65	10	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Promicromonosporaceae;__	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	2	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas	0	21	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	26	0	11	15	0	7	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Herbaspirillum	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	34	12	0
k__Bacteria;p__;c__;o__;f__;g__	0	3	0	0	0	8	0	0	0	21	0	0	0	0	0	0	2	0	0	0	25	1	1	24	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__	0	14	0	0	0	0	0	0	0	0	2	0	27	0	0	0	0	0	30	0	0	0	12	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Halomonadaceae;g__Halomonas	0	9	0	0	0	6	0	0	0	18	0	29	0	0	0	0	0	0	0	0	0	3	0	17	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	0	32	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__Paraprevotella	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	4	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium	50	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Mycobacteriaceae;g__Mycobacterium	0	0	0	0	0	0	0	0	0	35	0	0	32	0	0	0	0	0	0	0	0	1	6	6	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae];g__	0	0	0	3	0	8	3	1	0	0	1	0	0	0	0	0	0	0	0	49	0	4	0	10	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae];g__Tepidimicrobium	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	33	0	0	10	0	0
k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales;f__Dethiosulfovibrionaceae;g__Aminobacterium	0	32	0	0	0	0	0	22	0	8	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;__;__	0	0	21	2	0	0	20	4	0	0	0	0	1	0	0	0	0	0	0	0	7	16	0	0	1
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae;__	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	67	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium	0	0	0	0	0	0	0	0	0	0	0	0	44	13	0	0	0	0	0	0	0	2	0	12	0
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	5	0	0	0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Saprospiraceae;g__	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	19	1	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;g__Rhodococcus	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	21	7	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;__;__;__	0	0	0	0	0	0	0	0	0	1	0	0	0	53	0	0	0	0	0	0	0	0	2	11	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium	49	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Microvirgula	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	1	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;__	0	4	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;__	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	1	14	18	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus	0	6	46	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;g__	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__;g__	0	13	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	2	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__Kiloniellaceae;g__Thalassospira	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0
