Treat_Mediator_Y	ACME.p	prop.mediated
MetaG.map03018_MetaB.MEyellow3	0.002	0.629
MetaG.M00173_MetaB.MEyellow3	0.002	0.975
MetaG.M00001_MetaB.MEyellow3	0.002	0.701
MetaG.map00920_MetaB.MEyellow3	0.002	0.63
MetaG.M00440_MetaB.MEyellow3	0.002	0.501
MetaG.M00533_MetaB.MEyellow3	0.002	0.81
MetaG.M00222_MetaB.MEyellow3	0.002	0.722
MetaG.M00539_MetaB.MEskyblue3	0.002	0.777
MetaG.M00173_MetaB.MEskyblue1	0.004	0.51
MetaG.map00250_MetaB.MElightsteelblue	0.004	0.634
MetaG.M00539_MetaB.MEhoneydew1	0.004	0.796
MetaG.M00440_MetaB.MEhoneydew1	0.004	0.5567
MetaG.M00222_MetaB.MEpalevioletred2	0.004	0.568
MetaG.M00002_MetaB.MEivory	0.004	0.7039
MetaG.M00440_MetaB.MEivory	0.004	0.476
MetaG.M00533_MetaB.MEivory	0.004	0.7842
MetaG.M00440_MetaB.MEsienna4	0.004	0.6998
MetaG.M00533_MetaB.MEsienna4	0.004	1.055
MetaG.map03018_MetaB.MEsalmon2	0.004	0.674
MetaG.map00920_MetaB.MEsalmon2	0.004	0.809
MetaG.M00440_MetaB.MEsalmon2	0.004	0.5352
MetaG.M00533_MetaB.MEsalmon2	0.004	0.837
MetaG.M00440_MetaB.MEbisque4	0.004	0.651
MetaG.M00533_MetaB.MEbisque4	0.004	0.868
MetaG.M00222_MetaB.MEmediumpurple1	0.004	0.747
MetaG.map03018_MetaB.MEplum	0.004	0.679
MetaG.M00533_MetaB.MEplum	0.004	0.89
MetaG.M00002_MetaB.MEskyblue3	0.004	0.581
MetaG.M00533_MetaB.MEskyblue3	0.004	0.666
MetaG.map00250_MetaB.MEskyblue3	0.004	0.488
MetaG.M00440_MetaB.MEskyblue1	0.006	0.3055
MetaG.M00533_MetaB.MEdarkslateblue	0.006	0.474
MetaG.M00440_MetaB.MEbrown4	0.006	0.592
MetaG.M00533_MetaB.MEbrown4	0.006	0.871
MetaG.M00539_MetaB.MEivory	0.006	0.703
MetaG.map03018_MetaB.MEcyan	0.006	0.509
MetaG.M00338_MetaB.MEsienna4	0.006	0.987
MetaG.M00044_MetaB.MEsalmon2	0.006	0.623
MetaG.M00539_MetaB.MEbisque4	0.006	0.927
MetaG.M00222_MetaB.MEblue	0.006	0.531
MetaG.M00001_MetaB.MEskyblue3	0.006	0.546
MetaG.M00222_MetaB.MEskyblue3	0.006	0.436
MetaG.M00002_MetaB.MElavenderblush3	0.006	0.824
MetaG.M00222_MetaB.MElavenderblush3	0.006	0.598
MetaG.M00555_MetaB.MEhoneydew	0.008	-0.47
MetaG.M00173_MetaB.MEplum1	0.008	0.791
MetaG.M00533_MetaB.MEplum1	0.008	0.6453
MetaG.M00222_MetaB.MEsalmon	0.008	0.551
MetaG.M00338_MetaB.MEhoneydew1	0.008	0.7433
MetaG.M00044_MetaB.MEivory	0.008	0.594
MetaG.M00001_MetaB.MEivory	0.008	0.715
MetaG.map00250_MetaB.MEivory	0.008	0.597
MetaG.M00001_MetaB.MElightyellow	0.008	0.392
MetaG.M00044_MetaB.MEsienna4	0.008	0.667
MetaG.M00173_MetaB.MEsalmon2	0.008	0.743
MetaG.M00002_MetaB.MEsalmon2	0.008	0.684
MetaG.map03018_MetaB.MEbisque4	0.008	0.7
MetaG.M00173_MetaB.MEmediumpurple1	0.008	1.02
MetaG.M00044_MetaB.MEskyblue3	0.008	0.515
MetaG.M00440_MetaB.MEskyblue3	0.008	0.40373
MetaG.M00002_MetaB.MEplum1	0.01	0.663
MetaG.M00222_MetaB.MElightpink2	0.01	0.339
MetaG.M00222_MetaB.MEbrown4	0.01	0.547
MetaG.M00002_MetaB.MEhoneydew1	0.01	0.664
MetaG.M00002_MetaB.MEpalevioletred2	0.01	0.691
MetaG.M00440_MetaB.MEpalevioletred2	0.01	0.44485
MetaG.map00250_MetaB.MEpalevioletred2	0.01	0.591
MetaG.map00920_MetaB.MEivory	0.01	0.615
MetaG.M00044_MetaB.MEcyan	0.01	0.486
MetaG.M00001_MetaB.MEcyan	0.01	0.575
MetaG.map00250_MetaB.MEcyan	0.01	0.557
MetaG.map03018_MetaB.MEnavajowhite	0.01	0.428
MetaG.M00533_MetaB.MEnavajowhite	0.01	0.694
MetaG.M00001_MetaB.MEsalmon2	0.01	0.761
MetaG.M00173_MetaB.MEbisque4	0.01	0.878
MetaG.map00250_MetaB.MEmediumpurple1	0.01	0.8556
MetaG.M00338_MetaB.MEyellow3	0.01	0.682
MetaG.map03018_MetaB.MEblue	0.01	0.526
MetaG.M00173_MetaB.MEskyblue3	0.01	0.599
MetaG.map00250_MetaB.MEdarkmagenta	0.012	0.554
MetaG.M00539_MetaB.MEorangered1	0.012	0.689
