Bin	Species
bin.101	Rothia_mucilaginosa
bin.415	Rothia_mucilaginosa
bin.659	Rothia_mucilaginosa
bin.593	Ruania_sp_HY168
bin.834	Ruania_sp_HY168
bin.921	Ruminococcus_bicirculans
bin.125	Saccharibacteria
bin.360	Saccharibacteria
bin.6	Saccharibacteria
bin.893	Saccharibacteria
bin.878	Saccharibacteria
bin.19	Saccharibacteria
bin.265	Saccharibacteria
bin.561	Saccharibacteria
bin.675	Saccharibacteria
bin.1107	Saccharibacteria
bin.1039	Saccharibacteria
bin.250	Saccharibacteria
bin.485	Saccharibacteria
bin.292	Saccharibacteria
bin.1290	Saccharibacteria
bin.109	Saccharibacteria
bin.965	Saccharibacteria
bin.300	Schaalia_odontolytica
bin.462	Schaalia_odontolytica
bin.617	Schaalia_odontolytica
bin.4	Schaalia_odontolytica
bin.23	Schaalia_odontolytica
bin.373	Schaalia_odontolytica
bin.138	Schaalia_odontolytica
bin.400	Schaalia_odontolytica
bin.621	Schaalia_odontolytica
bin.223	Schaalia_odontolytica
bin.588	Schaalia_odontolytica
bin.43	Schaalia_odontolytica
bin.1093	Schaalia_odontolytica
bin.612	Schaalia_odontolytica
bin.482	Schaalia_odontolytica
bin.1069	Schaalia_odontolytica
bin.1378	Schaalia_odontolytica
bin.380	Schaalia_odontolytica
bin.113	Selenomonas_sp_oral_taxon_126
bin.201	Selenomonas_sp_oral_taxon_920
bin.774	Sneathia_amnii
bin.616	Streptococcus_gordonii
bin.542	Streptococcus_intermedius
bin.214	Streptococcus_mitis
bin.1125	Streptococcus_mitis
bin.132	Streptococcus_mitis
bin.141	Streptococcus_pneumoniae
bin.349	Streptococcus_pneumoniae
bin.752	Streptococcus_pneumoniae
bin.103	Streptococcus_pneumoniae
bin.431	Streptococcus_pneumoniae
bin.142	Streptococcus_pneumoniae
bin.819	Streptococcus_salivarius
bin.331	Streptococcus_salivarius
bin.720	Streptococcus_salivarius
bin.1366	Streptococcus_salivarius
bin.655	Streptococcus_sanguinis
bin.851	Streptococcus_sanguinis
bin.281	Streptococcus_sp_LPB0220
bin.882	Streptococcus_sp_LPB0220
bin.368	Streptococcus_sp_LPB0220
bin.140	Streptococcus_sp_LPB0220
bin.554	Streptococcus_sp_oral_taxon_431
bin.698	Streptococcus_sp_oral_taxon_431
bin.556	Streptococcus_sp_oral_taxon_431
bin.717	Streptococcus_sp_oral_taxon_431
bin.147	Streptococcus_sp_oral_taxon_431
bin.929	Streptococcus_sp_oral_taxon_431
bin.232	Tannerella_sp_oral_taxon_HOT-286
bin.184	Tannerella_sp_oral_taxon_HOT-286
bin.517	Treponema_putidum
bin.421	Treponema_putidum
bin.619	Treponema_sp_OMZ_838
bin.746	Treponema_sp_OMZ_838
bin.580	Treponema_sp_OMZ_838
bin.709	Treponema_sp_OMZ_838
bin.583	Treponema_sp_OMZ_838
bin.89	Veillonella_atypica
bin.807	Veillonella_atypica
bin.207	Veillonella_atypica
bin.92	Veillonella_atypica
bin.573	Veillonella_atypica
bin.618	Veillonella_atypica
bin.521	Veillonella_atypica
bin.59	Veillonella_atypica
bin.354	Veillonella_atypica
bin.804	Veillonella_dispar
bin.105	Veillonella_dispar
bin.3	Veillonella_dispar
bin.863	Veillonella_dispar
bin.234	Veillonella_parvula
