Treat_Mediator_Y	ACME.p	prop.mediated
MetaB.MEantiquewhite1_HostT.MEred4_NEU	2.00E-16	0.91
MetaB.MEantiquewhite1_HostT.MErosybrown1_NEU	2.00E-16	0.801
MetaB.MEantiquewhite1_HostT.MEroyalblue4_NEU	0.038	0.2977
MetaB.MEantiquewhite1_HostT.MEsaddlebrown.1_NEU	2.00E-16	1.368
MetaB.MEantiquewhite1_HostT.MEsalmon2_NEU	2.00E-16	1.018
MetaB.MEantiquewhite1_HostT.MEseagreen2_NEU	0.96	-0.00847
MetaB.MEantiquewhite1_HostT.MEsienna1_NEU	2.00E-16	0.692
MetaB.MEantiquewhite1_HostT.MEsienna2_NEU	2.00E-16	0.862
MetaB.MEantiquewhite1_HostT.MEsienna3_NEU	2.00E-16	0.751
MetaB.MEantiquewhite1_HostT.MEskyblue2_NEU	2.00E-16	0.934
MetaB.MEantiquewhite1_HostT.MEskyblue3.1_NEU	0.004	0.36
MetaB.MEantiquewhite1_HostT.MEslateblue2_NEU	2.00E-16	0.6
MetaB.MEantiquewhite1_HostT.MEsteelblue1_NEU	0.008	0.502
MetaB.MEantiquewhite1_HostT.MEsteelblue4_NEU	2.00E-16	0.494
MetaB.MEantiquewhite1_HostT.MEtan.1_NEU	2.00E-16	0.554
MetaB.MEantiquewhite1_HostT.MEtan4_NEU	2.00E-16	0.701
MetaB.MEantiquewhite1_HostT.MEthistle4_NEU	2.00E-16	0.657
MetaB.MEantiquewhite1_HostT.MEturquoise_NEU	2.00E-16	1.022
MetaB.MEantiquewhite1_HostT.MEwhite_NEU	2.00E-16	0.733
MetaB.MEantiquewhite1_HostT.MEyellow_NEU	2.00E-16	0.948
MetaB.MEantiquewhite1_HostT.MEyellow2_NEU	2.00E-16	0.687
MetaB.MEantiquewhite4_HostT.MEbisque4_NEU	2.00E-16	1.283
MetaB.MEantiquewhite4_HostT.MEblue2_NEU	2.00E-16	1.081
MetaB.MEantiquewhite4_HostT.MEblueviolet_NEU	2.00E-16	0.96
MetaB.MEantiquewhite4_HostT.MEbrown_NEU	2.00E-16	1.378
MetaB.MEantiquewhite4_HostT.MEbrown3_NEU	2.00E-16	0.764
MetaB.MEantiquewhite4_HostT.MEchocolate2_NEU	2.00E-16	0.593
MetaB.MEantiquewhite4_HostT.MEchocolate4_NEU	2.00E-16	0.576
MetaB.MEantiquewhite4_HostT.MEcoral_NEU	2.00E-16	0.718
MetaB.MEantiquewhite4_HostT.MEcyan_NEU	2.00E-16	0.985
MetaB.MEantiquewhite4_HostT.MEdarkgoldenrod4_NEU	2.00E-16	1.366
MetaB.MEantiquewhite4_HostT.MEdarkgreen_NEU	2.00E-16	0.959
MetaB.MEantiquewhite4_HostT.MEdarkgrey.1_NEU	0.086	0.2735
MetaB.MEantiquewhite4_HostT.MEdarkmagenta.1_NEU	2.00E-16	0.971
MetaB.MEantiquewhite4_HostT.MEdarkmagenta_NEU	0.008	0.3634
MetaB.MEantiquewhite4_HostT.MEdarkolivegreen4_NEU	2.00E-16	0.443
MetaB.MEantiquewhite4_HostT.MEdarkorange2_NEU	2.00E-16	0.977
MetaB.MEantiquewhite4_HostT.MEdarkorchid1_NEU	2.00E-16	0.95
MetaB.MEantiquewhite4_HostT.MEdarkorchid2_NEU	2.00E-16	0.946
MetaB.MEantiquewhite4_HostT.MEdarksalmon_NEU	2.00E-16	0.551
MetaB.MEantiquewhite4_HostT.MEdarkseagreen2_NEU	2.00E-16	0.704
MetaB.MEantiquewhite4_HostT.MEdarkviolet_NEU	2.00E-16	1.014
MetaB.MEantiquewhite4_HostT.MEdeeppink_NEU	2.00E-16	0.651
MetaB.MEantiquewhite4_HostT.MEdeeppink3_NEU	2.00E-16	1.216
MetaB.MEantiquewhite4_HostT.MEdodgerblue1_NEU	0.45	-0.0742
MetaB.MEantiquewhite4_HostT.MEdodgerblue4_NEU	2.00E-16	0.534
MetaB.MEantiquewhite4_HostT.MEfirebrick3_NEU	2.00E-16	1.256
MetaB.MEantiquewhite4_HostT.MEfirebrick4_NEU	2.00E-16	0.993
MetaB.MEantiquewhite4_HostT.MEfloralwhite_NEU	2.00E-16	0.749
MetaB.MEantiquewhite4_HostT.MEgold_NEU	2.00E-16	0.951
MetaB.MEantiquewhite4_HostT.MEgold1_NEU	2.00E-16	0.715
MetaB.MEantiquewhite4_HostT.MEgreen2_NEU	2.00E-16	1.442
MetaB.MEantiquewhite4_HostT.MEgreen4_NEU	2.00E-16	1.364
MetaB.MEantiquewhite4_HostT.MEgreenyellow.1_NEU	0.116	0.1792
MetaB.MEantiquewhite4_HostT.MEgreenyellow_NEU	2.00E-16	0.749
MetaB.MEantiquewhite4_HostT.MEhoneydew1_NEU	2.00E-16	0.648
MetaB.MEantiquewhite4_HostT.MEhoneydew2_NEU	2.00E-16	1.3
MetaB.MEantiquewhite4_HostT.MEhoneydew3_NEU	2.00E-16	0.784
MetaB.MEantiquewhite4_HostT.MEhotpink1_NEU	2.00E-16	0.776
MetaB.MEantiquewhite4_HostT.MEhotpink2_NEU	2.00E-16	1.368
MetaB.MEantiquewhite4_HostT.MElavender_NEU	0.022	0.4947
MetaB.MEantiquewhite4_HostT.MElavenderblush2_NEU	2.00E-16	0.626
MetaB.MEantiquewhite4_HostT.MElemonchiffon1_NEU	2.00E-16	0.828
MetaB.MEantiquewhite4_HostT.MElightcyan4_NEU	2.00E-16	0.483
MetaB.MEantiquewhite4_HostT.MElightgoldenrod2_NEU	0.45	0.0457
MetaB.MEantiquewhite4_HostT.MElightgoldenrod3_NEU	0.018	0.379
MetaB.MEantiquewhite4_HostT.MElightpink_NEU	2.00E-16	1.031
MetaB.MEantiquewhite4_HostT.MElightpink1_NEU	0.004	0.677
MetaB.MEantiquewhite4_HostT.MElightpink3_NEU	2.00E-16	0.429
MetaB.MEantiquewhite4_HostT.MElightskyblue2_NEU	2.00E-16	1.13
MetaB.MEantiquewhite4_HostT.MElightsteelblue1_NEU	2.00E-16	1.321
MetaB.MEantiquewhite4_HostT.MElightyellow.1_NEU	2.00E-16	1.011
MetaB.MEantiquewhite4_HostT.MElightyellow_NEU	2.00E-16	0.86
MetaB.MEantiquewhite4_HostT.MElightyellow3_NEU	2.00E-16	1.022
MetaB.MEantiquewhite4_HostT.MEmagenta_NEU	2.00E-16	1.29
MetaB.MEantiquewhite4_HostT.MEmagenta4_NEU	2.00E-16	1.382
MetaB.MEantiquewhite4_HostT.MEmaroon2_NEU	2.00E-16	1.387
MetaB.MEantiquewhite4_HostT.MEmaroon3_NEU	2.00E-16	0.604
MetaB.MEantiquewhite4_HostT.MEmoccasin_NEU	2.00E-16	1.549
MetaB.MEantiquewhite4_HostT.MEnavajowhite1_NEU	2.00E-16	1.184
MetaB.MEantiquewhite4_HostT.MEnavajowhite4_NEU	2.00E-16	0.906
MetaB.MEantiquewhite4_HostT.MEoldlace_NEU	2.00E-16	0.972
MetaB.MEantiquewhite4_HostT.MEorange_NEU	0.784	0.0468
MetaB.MEantiquewhite4_HostT.MEorange4_NEU	2.00E-16	0.681
MetaB.MEantiquewhite4_HostT.MEorangered_NEU	2.00E-16	0.954
MetaB.MEantiquewhite4_HostT.MEorangered4_NEU	2.00E-16	0.813
MetaB.MEantiquewhite4_HostT.MEorchid4_NEU	2.00E-16	0.842
MetaB.MEantiquewhite4_HostT.MEpalegreen3_NEU	2.00E-16	0.97
MetaB.MEantiquewhite4_HostT.MEpaleturquoise_NEU	0.702	0.051
MetaB.MEantiquewhite4_HostT.MEpaleturquoise4_NEU	0.002	0.698
MetaB.MEantiquewhite4_HostT.MEpink1_NEU	0.002	0.568
MetaB.MEantiquewhite4_HostT.MEpink3_NEU	0.006	0.553
MetaB.MEantiquewhite4_HostT.MEplum4_NEU	0.002	0.336
MetaB.MEantiquewhite4_HostT.MEpurple_NEU	2.00E-16	0.942
MetaB.MEantiquewhite4_HostT.MEpurple2_NEU	2.00E-16	1.101
MetaB.MEantiquewhite4_HostT.MEred_NEU	2.00E-16	0.786
MetaB.MEantiquewhite4_HostT.MEred3_NEU	0.02	-0.414
MetaB.MEantiquewhite4_HostT.MEred4_NEU	2.00E-16	0.911
MetaB.MEantiquewhite4_HostT.MErosybrown1_NEU	2.00E-16	1.009
MetaB.MEantiquewhite4_HostT.MEroyalblue4_NEU	0.01	0.4406
MetaB.MEantiquewhite4_HostT.MEsaddlebrown.1_NEU	2.00E-16	1.604
MetaB.MEantiquewhite4_HostT.MEsalmon2_NEU	2.00E-16	1.17
MetaB.MEantiquewhite4_HostT.MEseagreen2_NEU	0.76	0.0587
MetaB.MEantiquewhite4_HostT.MEsienna1_NEU	2.00E-16	0.872
MetaB.MEantiquewhite4_HostT.MEsienna2_NEU	2.00E-16	0.944
MetaB.MEantiquewhite4_HostT.MEsienna3_NEU	2.00E-16	0.722
MetaB.MEantiquewhite4_HostT.MEskyblue2_NEU	2.00E-16	1.023
MetaB.MEantiquewhite4_HostT.MEskyblue3.1_NEU	0.002	0.387
MetaB.MEantiquewhite4_HostT.MEslateblue2_NEU	2.00E-16	0.683
