module_pair	feature_connections
MetaG.map00920_MetaB.MElavenderblush3	K00641_C00079;K00640_C00079;K00651_C00079
MetaG.map03018_MetaB.MEblue	K00128_C01948;K00128_C01838;K00128_C01875;K00128_C00517
MetaG.map00250_MetaB.MEdarkmagenta	K00128_HMDB0007016
MetaG.map00280_MetaB.MEnavajowhite	K00128_HMDB0007016
MetaG.M00032_MetaB.MEhoneydew	K00128_HMDB0007059;K00128_HMDB0012146;K01825_HMDB0012146;K04073_HMDB0012146;K00128_HMDB0007074;K00128_HMDB0007022;K01782_HMDB0012146
MetaG.map00250_MetaB.MEorangered3	K00128_HMDB0013483
MetaG.M00001_MetaB.MElavenderblush3	K00164_C00517;K00252_C01875;K00658_C01875;K00658_C00517;K00164_C01948;K01692_C01948;K00252_C01948;K01692_C01875;K00164_C01875;K01825_C01875;K01692_C00517;K00252_C01838;K00290_C01948;K00290_C01875;K01782_C01838;K00290_C00517;K01782_C00517;K00293_C01838;K00658_C01838;K01825_C00517;K01782_C01875;K00658_C01948;K01825_C01838;K00293_C01948;K01782_C01948;K00290_C01838;K00293_C01875;K00164_C01838;K01692_C01838;K00252_C00517;K01825_C01948;K00293_C00517
MetaG.M00539_MetaB.MEfloralwhite	K00171_C00073;K00170_C00073;K00172_C00073;K00169_C00073;K00024_C00073;K01682_C00073;K01595_C00073
MetaG.M00044_MetaB.MEblue	K00265_C00064;K13821_C00148;K00266_C00064;K23265_C00064
MetaG.M00533_MetaB.MEfloralwhite	K00271_C01234
MetaG.map00920_MetaB.MEskyblue	K00293_C00025
MetaG.map00280_MetaB.MEorangered1	K00293_C00073;K01782_C00463;K01825_C00073;K01782_C00073;K00293_C00078;K00290_C00073;K00290_C00078;K01825_C00078;K01782_C00078;K01825_C00463
MetaG.map00920_MetaB.MEdarkslateblue	K00385_C00127;K15552_C00127;K20034_C00127;K16951_C00127;K08353_C00127;K17218_C00127;K10764_C00127;K08359_C00127;K17486_C00127;K00651_C00127;K16936_C00127;K20035_C00127;K10831_C00127;K15554_C00127;K16937_C00127;K22622_C00127;K07306_C00127;K08357_C00127;K03119_C00127;K07307_C00127;K02047_C00127;K21307_C00127;K06881_C00127;K23163_C00127;K02045_C00127;K17228_C00127;K00299_C00127;K15553_C00127;K15555_C00127;K01738_C00127;K02439_C00127;K02048_C00127;K01739_C00127;K08358_C00127;K15551_C00127;K00640_C00127;K07308_C00127;K17217_C00127;K16950_C00127;K00641_C00127;K00988_C00127;K04091_C00127;K02046_C00127;K17285_C00127;K08354_C00127
MetaG.map03018_MetaB.MEfloralwhite	K00493_C01598;K00128_C05635;K00128_C00257
MetaG.map03018_MetaB.MEskyblue	K00493_C05643
MetaG.map00250_MetaB.MEslateblue	K00529_C00135;K05710_C00135
MetaG.map00920_MetaB.MEfloralwhite	K00620_C00077;K00620_C00073;K01438_C00077;K00619_C02712;K14682_C00073;K14682_C02712;K00620_C02712;K00619_C00073
MetaG.M00044_MetaB.MEdarkmagenta	K00813_C00078;K09758_C00073;K00830_C00073;K01744_C02712;K23265_C00385;K15371_C02712;K00278_C02712;K00813_C00077;K00278_C00073;K00812_C00077;K00608_C00073;K00830_C00077;K23265_C01762;K11358_C00078;K08324_C02712;K08324_C00073;K14260_C02712;K00294_C00077;K13821_C00077;K09758_C02712;K00610_C02712;K22457_C00073;K00813_C00073;K23265_C00073;K15371_C00073;K01779_C02712;K01914_C02712;K00830_C00078;K00608_C02712;K08324_C01762;K00294_C02712;K13821_C02712;K00812_C00073;K00830_C02712;K00265_C00073;K19244_C00073;K00265_C02712;K00259_C00073;K00259_C02712;K08324_C00385;K11358_C02712;K00266_C02712;K14260_C00073;K00610_C00073;K19244_C02712;K22457_C02712;K00813_C02712;K00812_C00078;K01744_C00073;K01914_C00073;K23265_C02712;K11358_C00073;K13821_C00073;K00266_C00073;K00294_C00073;K00812_C02712;K01779_C00073;K11358_C00077
MetaG.M00044_MetaB.MEdarkslateblue	K00830_C01948;K00830_C01875;K00830_C00517;K00830_C01838
MetaG.map00280_MetaB.MEdarkslateblue	K00873_C00122
MetaG.M00044_MetaB.MEskyblue	K00988_C00299
MetaG.M00338_MetaB.MEfloralwhite	K00988_C00475;K01738_C00064;K17217_C00408;K23163_C00064;K00988_C00064;K01739_C00064;K17217_C00064;K00651_C00064;K00640_C00064;K10764_C00064;K00641_C00064;K23163_C00135
MetaG.map00380_MetaB.MEskyblue	K01438_C00437;K00620_C00437;K00821_C00437
MetaG.map00250_MetaB.MEskyblue	K01501_C10827
MetaG.map00280_MetaB.MEskyblue	K01555_C00025;K16171_C00025
MetaG.map00920_MetaB.MEbisque4	K01555_C00077;K16171_C00077
MetaG.map00920_MetaB.MEplum1	K01662_C00073
MetaG.M00044_MetaB.MEslateblue	K01662_C00378;K01662_C00082
MetaG.map00920_MetaB.MEpink	K01662_C01081
MetaG.M00044_MetaB.MElightgreen	K01667_C00463;K01667_C00078
MetaG.map00380_MetaB.MEfloralwhite	K01697_C02041;K01758_C00954;K01697_C02593;K01697_C00954;K01758_C02041;K01758_C05261;K01758_C02593;K01697_C05261
MetaG.map00380_MetaB.MElavenderblush3	K01739_C00073
MetaG.M00044_MetaB.MEfloralwhite	K01739_C01234
MetaG.map00280_MetaB.MEskyblue1	K01758_C00408;K01697_C00408;K01758_C00064
MetaG.M00338_MetaB.MElightgreen	K01761_C00073
MetaG.map00920_MetaB.MEdarkmagenta	K01782_C00064;K01825_C00064
MetaG.map00920_MetaB.MEskyblue1	K01782_C00082;K01825_C00051;K00290_C00082;K01782_C00193;K01825_C00193;K01782_C00051;K01825_C00082;K00293_C00082
MetaG.map00250_MetaB.MEfloralwhite	K01782_C00122;K00164_C00122;K01825_C00122;K00658_C00122
MetaG.M00338_MetaB.MEskyblue1	K01782_C01234;K01501_C01234;K00128_C03413;K00128_C01234;K01825_C01234
MetaG.M00001_MetaB.MEpink	K01782_C01234;K01825_C01234
MetaG.map00250_MetaB.MEpink	K01823_C01230
MetaG.map00380_MetaB.MEnavajowhite	K01823_C04216
MetaG.M00360_MetaB.MEfloralwhite	K01823_C04217
MetaG.map00380_MetaB.MEblue	K01825_HMDB0012146;K00658_HMDB0012146;K00164_HMDB0012146;K01782_HMDB0012146
MetaG.M00360_MetaB.MEskyblue	K01867_C00078;K01874_C00073
MetaG.map00280_MetaB.MEfloralwhite	K01870_C00407;K01869_C00123;K01869_C00407;K01870_C00123;K09698_C00025;K01885_C00025
MetaG.M00360_MetaB.MEplum1	K01873_C01234
MetaG.M00173_MetaB.MEfloralwhite	K01881_C00148;K01892_C00135;K01886_C00064
MetaG.M00002_MetaB.MEfloralwhite	K01914_C10827
MetaG.map00250_MetaB.MEdarkslateblue	K02040_HMDB0033063;K02040_C00993;K02040_HMDB0033369
MetaG.map00920_MetaB.MEslateblue	K03782_C00079
MetaG.map00380_MetaB.MEred	K03782_C00082
MetaG.map00380_MetaB.MEskyblue1	K07250_C00437
MetaG.map00380_MetaB.MEdarkslateblue	K07250_C00555;K07250_C00408;K00128_C00408;K01761_C00064;K00128_C00064;K01782_C00064;K07250_C00148;K00128_C00555;K00128_C00135;K00128_C00148;K01825_C00064
MetaG.M00338_MetaB.MEdarkslateblue	K08358_C00089;K08359_C00089;K08357_C00089
MetaG.map00280_MetaB.MEslateblue	K10219_C00135;K05921_C00135
MetaG.M00360_MetaB.MEblue	K13810_C10827;K00845_C10827;K06859_C10827;K00844_C10827;K15916_C10827
MetaG.map00380_MetaB.MEorangered1	K14260_C01234
MetaG.M00001_MetaB.MEfloralwhite	K15037_HMDB0012146;K00128_HMDB0007022;K15036_HMDB0012146;K01847_HMDB0012146;K00128_HMDB0012146;K01782_HMDB0012146;K00128_HMDB0007074;K18472_HMDB0012146;K01964_HMDB0012146;K01825_HMDB0012146;K00128_HMDB0007059
MetaG.M00002_MetaB.MEdarkmagenta	K15633_C00077;K15634_C00078;K15635_C00073;K15634_C00073;K15634_C00077;K15635_C00077;K15635_C00078;K15633_C00078;K15633_C00073
MetaG.M00002_MetaB.MEsalmon	K15634_C01838;K15635_C01838;K15633_C01948;K15635_C00517;K15634_C01948;K15633_C01875;K15634_C00517;K15634_C01875;K15635_C01875;K15633_C01838;K15635_C01948;K15633_C00517
MetaG.M00002_MetaB.MEskyblue	K15635_C00077;K15633_C00078;K15635_C00078;K15633_C00073;K00918_C00073;K01623_C00073;K16370_C00073;K15634_C00078;K15633_C00077;K15634_C00077;K11645_C00073;K15634_C00073;K15635_C00073
MetaG.M00032_MetaB.MEfloralwhite	K15635_C00408;K15633_C00408;K00873_C00064;K15634_C00408
MetaG.map00380_MetaB.MEpink	K15635_C00408;K15633_C00408;K00873_C00064;K15634_C00408
MetaG.map00280_MetaB.MEorangered3	K16171_C00437;K01555_C00437
MetaG.M00001_MetaB.MEskyblue	K16363_C02593;K16363_C02041;K16363_C05261
MetaG.M00173_MetaB.MEdarkslateblue	K17217_C01948;K17217_C01838;K17217_C01875;K17217_C00517
MetaG.map00380_MetaB.MEslateblue	K20807_C00064;K01426_C00064;K04103_C00064;K01782_C00064;K03782_C00135;K00128_C00135;K04073_C00135;K00128_C00148;K01501_C00064;K21801_C00064;K01721_C00064;K00128_C00408;K03782_C00064;K00493_C00064;K00128_C00064;K04073_C00064;K00128_C00555;K01667_C00064;K01825_C00064
MetaG.M00032_MetaB.MEblue	K23265_C00299;K08324_C00299
MetaG.M00173_MetaB.MEskyblue	K00170_C00073;K00169_C00073;K01682_C00073;K01595_C00073;K00024_C00073;K00171_C00073;K00172_C00073
MetaG.M00096_MetaB.MElightyellow	K01823_C01230
MetaG.map00380_MetaB.MEhoneydew	K00128_HMDB0007074;K14085_HMDB0007059;K00149_HMDB0007059;K00128_HMDB0007022;K14085_HMDB0007022;K14085_HMDB0007074;K00149_HMDB0007074;K00128_HMDB0007059;K00149_HMDB0007022
MetaG.map00280_MetaB.MElightyellow	K00128_HMDB0007029;K14085_HMDB0007029;K00149_HMDB0007029
MetaG.map00380_MetaB.MElightyellow	K00128_HMDB0007029;K00149_HMDB0007029;K14085_HMDB0007029
MetaG.M00096_MetaB.MEskyblue	K01662_C00073
MetaG.map03018_MetaB.MEslateblue	K16855_C00299
MetaG.map00280_MetaB.MEdarkmagenta	K14085_C01875;K14085_C01948;K14085_C00517;K00149_C00517;K00149_C01948;K00149_C01838;K00128_C01948;K14085_C01838;K00149_C01875;K00128_C01838;K00128_C01875;K00128_C00517
MetaG.map00380_MetaB.MEantiquewhite4	K07408_C03594;K07409_C03594;K07410_C03594
MetaG.M00032_MetaB.MEskyblue	K01782_C00463;K00290_C00073;K00825_C00078;K01825_C00078;K07515_C00073;K00022_C00078;K07511_C00463;K00143_C00078;K07514_C00073;K14085_C00077;K07514_C00463;K14085_C00078;K07511_C00073;K01782_C00078;K01782_C00073;K07511_C00078;K00825_C00073;K14085_C00073;K07515_C00463;K00293_C00078;K14085_C00463;K00022_C00463;K01825_C00073;K07514_C00078;K00143_C00073;K01825_C00463;K07515_C00078;K00290_C00078;K00293_C00073;K00022_C00073
MetaG.map00380_MetaB.MEorangered3	K00128_C00884;K14085_C00884;K00149_C00884
MetaG.M00060_MetaB.MElightgreen	K16363_C02041;K16363_C02593
MetaG.M00360_MetaB.MEdarkslateblue	K01885_C00430
MetaG.map00380_MetaB.MEsalmon	K07409_C05643;K07408_C05643;K00493_C05643;K07410_C05643
MetaG.M00032_MetaB.MEdarkslateblue	K14085_C03413
MetaG.M00032_MetaB.MEred	K00290_C00082;K14085_C00051;K07511_C00193;K01782_C00193;K07511_C00051;K07514_C00051;K14085_C00486;K00022_C00193;K00022_C00051;K01782_C00051;K01825_C00082;K07515_C00193;K00825_C00082;K00022_C00082;K07514_C00082;K07514_C00193;K14085_C00082;K14085_C00193;K01782_C00082;K00293_C00082;K00143_C00082;K01825_C00051;K01825_C00193;K07515_C00051;K07511_C00082;K07515_C00082
MetaG.M00032_MetaB.MEskyblue1	K14085_C00127
MetaG.M00096_MetaB.MEmediumpurple3	K01823_C04216
MetaG.M00032_MetaB.MEdarkmagenta	K14085_C01948;K14085_C00517;K14085_C01875;K14085_C01838
MetaG.M00032_MetaB.MElightyellow	K14085_HMDB0007029
MetaG.map00280_MetaB.MEhoneydew	K00128_HMDB0007022;K00128_HMDB0007074;K14085_HMDB0007059;K00149_HMDB0007059;K14085_HMDB0007074;K14085_HMDB0007022;K00128_HMDB0007059;K00149_HMDB0007074;K00149_HMDB0007022
MetaG.M00032_MetaB.MEorangered1	K14085_HMDB0007094;K14085_HMDB0007016
MetaG.M00028_MetaB.MEskyblue	K00619_C02712;K11067_C00073;K00620_C00077;K00620_C00073;K14681_C00073;K14682_C00073;K00618_C02712;K00620_C02712;K11067_C02712;K14681_C02712;K14682_C02712;K00619_C00073;K01438_C00077;K00618_C00073
MetaG.M00032_MetaB.MEorangered3	K14085_C00884
MetaG.M00432_MetaB.MEblue	K01703_C00123;K01702_C00123;K00052_C00123;K01704_C00123;K01649_C00123
MetaG.M00096_MetaB.MEhoneydew1	K01823_C04217
MetaG.M00096_MetaB.MEred	K01662_C00082;K01662_C00378
MetaG.M00028_MetaB.MEslateblue	K00818_C00437;K00821_C00437;K01438_C00437;K00620_C00437
MetaG.map00380_MetaB.MEdarkmagenta	K00149_C01948;K00149_C01838;K14085_C01875;K00149_C00517;K14085_C00517;K14085_C01948;K00128_C01875;K00128_C01838;K00128_C00517;K14085_C01838;K00128_C01948;K00149_C01875
MetaG.M00096_MetaB.MEblue	K01662_C01081
MetaG.M00032_MetaB.MEsalmon	K01782_C00122;K00164_C00122;K01825_C00122;K00658_C00122
