Treat_Mediator_Y	ACME.p	prop.mediated
MetaG.M00145_MetaB.MEmidnightblue	0.285	-0.0109
MetaG.M00436_MetaB.MEcoral3	0.285	0.0143
MetaG.M00545_MetaB.MElightcoral	0.298	0.0131
MetaG.M00162_MetaB.MEwhite	0.303	-0.0122
MetaG.M00151_MetaB.MEcoral3	0.308	0.0176
MetaG.M00274_MetaB.MEblue2	0.308	-0.000507
MetaG.M00274_MetaB.MEcoral3	0.308	0.0179
MetaG.M00545_MetaB.MEdarkorange2	0.308	0.0124
MetaG.M00015_MetaB.MEwhite	0.331	0.0134
MetaG.M00151_MetaB.MEwhite	0.331	-0.0116
MetaG.M00436_MetaB.MEorange	0.331	0.000421
MetaG.M00512_MetaB.MEwhite	0.331	0.015
MetaG.M00342_MetaB.MEcoral	0.349	0.0346
MetaG.M00500_MetaB.MElightcoral	0.354	-0.00377
MetaG.M00537_MetaB.MEblue2	0.354	0.0236
MetaG.M00540_MetaB.MEcoral3	0.354	0.00986
MetaG.M00545_MetaB.MEmidnightblue	0.358	0.0079
MetaG.M00545_MetaB.MEcoral	0.372	0.0365
MetaG.M00015_MetaB.MEindianred4	0.377	0.00794
MetaG.M00162_MetaB.MEblack	0.377	0.0248
MetaG.M00274_MetaB.MElightcoral	0.377	-0.00377
MetaG.M00500_MetaB.MEpalevioletred3	0.377	0.0241
MetaG.map00564_MetaB.MEcoral3	0.377	0.0108
MetaG.M00145_MetaB.MEdarkorange	0.4	-0.0066
MetaG.M00145_MetaB.MEdarkorange2	0.4	-0.00624
MetaG.M00439_MetaB.MEdarkorange	0.4	0.0164
MetaG.M00145_MetaB.MEblack	0.423	-0.00773
MetaG.M00540_MetaB.MEorange	0.423	0.000856
MetaG.M00342_MetaB.MEdarkorange2	0.437	0.00837
MetaG.M00145_MetaB.MEindianred4	0.446	0.0141
MetaG.M00151_MetaB.MEorange	0.446	-0.00911
MetaG.M00436_MetaB.MEdarkorange	0.446	0.0106
MetaG.M00540_MetaB.MEwhite	0.446	0.00096
MetaG.map00195_MetaB.MEblue2	0.446	-0.00583
MetaG.M00151_MetaB.MEdarkorange2	0.469	0.0121
MetaG.M00512_MetaB.MEblue2	0.469	0.00556
MetaG.M00151_MetaB.MEmidnightblue	0.492	0.0111
MetaG.M00436_MetaB.MEblack	0.492	0.0129
MetaG.M00537_MetaB.MEdarkorange2	0.492	0.0139
MetaG.M00015_MetaB.MEdarkorange2	0.515	-0.00477
MetaG.M00274_MetaB.MEmidnightblue	0.515	0.00122
MetaG.M00418_MetaB.MEmidnightblue	0.515	0.0126
MetaG.M00537_MetaB.MElightcoral	0.515	0.0211
MetaG.M00162_MetaB.MEorange	0.529	-0.00673
MetaG.M00015_MetaB.MEorange	0.538	0.00764
MetaG.M00274_MetaB.MEdarkorange2	0.538	-0.000656
MetaG.M00373_MetaB.MEorange	0.538	-0.00345
MetaG.M00511_MetaB.MEorange	0.538	-0.00327
MetaG.M00511_MetaB.MEblack	0.562	0.0373
MetaG.M00512_MetaB.MEmidnightblue	0.562	0.00864
MetaG.M00540_MetaB.MEblack	0.562	0.0256
MetaG.M00151_MetaB.MElightcoral	0.571	-0.00735
MetaG.M00436_MetaB.MElightcoral	0.585	0.0113
MetaG.M00500_MetaB.MEmidnightblue	0.585	-6.58E-05
MetaG.M00512_MetaB.MEdarkorange2	0.585	0.00688
MetaG.M00540_MetaB.MEdarkorange	0.585	0.0199
MetaG.M00342_MetaB.MEmidnightblue	0.594	0.00411
MetaG.M00151_MetaB.MEcoral	0.603	-0.0167
MetaG.M00015_MetaB.MEmidnightblue	0.608	0.00313
MetaG.M00145_MetaB.MEcoral3	0.608	-0.000762
MetaG.M00540_MetaB.MEindianred4	0.608	0.00343
MetaG.map00195_MetaB.MEorange	0.608	-0.00353
MetaG.M00545_MetaB.MEgreen	0.612	-0.00638
MetaG.M00274_MetaB.MEgreen	0.631	-0.000752
MetaG.M00436_MetaB.MEpalevioletred3	0.631	0.0101
MetaG.M00511_MetaB.MEindianred4	0.631	-0.0008
MetaG.M00162_MetaB.MEdarkorange	0.649	0.00929
MetaG.M00500_MetaB.MEwhite	0.654	0.0164
MetaG.M00511_MetaB.MEwhite	0.654	0.0039
MetaG.M00537_MetaB.MEwhite	0.654	0.00798
MetaG.M00500_MetaB.MEindianred4	0.677	0.00554
MetaG.M00512_MetaB.MEblack	0.677	0.0123
MetaG.map00195_MetaB.MEdarkorange2	0.677	-0.00215
MetaG.M00545_MetaB.MEindianred4	0.686	0.00274
MetaG.M00500_MetaB.MEblue2	0.7	0.012
MetaG.M00511_MetaB.MEcoral3	0.7	0.00469
MetaG.M00511_MetaB.MEdarkorange	0.7	0.0114
MetaG.M00537_MetaB.MEgreen	0.7	0.00629
MetaG.map00195_MetaB.MEmidnightblue	0.7	0.000205
MetaG.M00373_MetaB.MEdarkorange2	0.723	0.0162
MetaG.M00418_MetaB.MEdarkorange2	0.723	0.00522
MetaG.M00162_MetaB.MEcoral3	0.728	-0.00561
MetaG.M00342_MetaB.MEgreen	0.732	-0.00202
MetaG.M00373_MetaB.MEantiquewhite2	0.746	0.0059
MetaG.M00567_MetaB.MEcoral	0.746	0.0574
MetaG.map00195_MetaB.MEindianred4	0.746	0.00692
MetaG.M00015_MetaB.MEantiquewhite2	0.769	0.000598
MetaG.M00145_MetaB.MEtan4	0.769	-0.00335
MetaG.M00274_MetaB.MEantiquewhite2	0.769	0.00137
MetaG.M00567_MetaB.MEcoral3	0.769	0.00561
MetaG.map00195_MetaB.MEcoral3	0.769	-0.000234
MetaG.map00195_MetaB.MEdarkorange	0.769	1.87E-05
MetaG.M00436_MetaB.MEgreen	0.792	0.00445
MetaG.M00436_MetaB.MEmidnightblue	0.792	0.0012
MetaG.M00511_MetaB.MEantiquewhite2	0.792	0.00229
MetaG.M00512_MetaB.MEdarkorange	0.792	0.00695
MetaG.M00537_MetaB.MEcoral	0.792	0.0291
MetaG.M00342_MetaB.MEorange	0.802	-0.0016
MetaG.M00436_MetaB.MEantiquewhite2	0.815	0.0014
MetaG.M00439_MetaB.MEgreen	0.815	-0.00035
MetaG.M00439_MetaB.MEorange	0.815	-0.0018
MetaG.M00439_MetaB.MEtan4	0.815	-0.00073
MetaG.M00537_MetaB.MEantiquewhite2	0.815	0.00454
MetaG.M00342_MetaB.MEwhite	0.834	0.000958
MetaG.M00015_MetaB.MEgreen	0.838	0.00276
MetaG.M00151_MetaB.MEtan4	0.838	-0.00089
MetaG.M00162_MetaB.MEindianred4	0.838	-0.00109
MetaG.M00439_MetaB.MEcoral	0.838	0.0477
MetaG.M00439_MetaB.MEdarkred	0.838	-0.00127
MetaG.M00500_MetaB.MEcoral3	0.838	0.00522
MetaG.M00537_MetaB.MEcoral3	0.838	0.00721
MetaG.M00540_MetaB.MEmidnightblue	0.838	0.000274
MetaG.map00195_MetaB.MEblack	0.838	0.01737
MetaG.M00151_MetaB.MEgreen	0.862	0.00125
MetaG.M00342_MetaB.MEtan4	0.862	0.000692
MetaG.M00373_MetaB.MEgreen	0.862	0.000338
MetaG.M00540_MetaB.MEantiquewhite2	0.862	0.00159
MetaG.map00564_MetaB.MEindianred4	0.862	0.000018
MetaG.M00545_MetaB.MEantiquewhite2	0.866	-0.00103
MetaG.M00145_MetaB.MEantiquewhite2	0.885	-1.27E-03
MetaG.M00145_MetaB.MEdarkred	0.885	0.000374
MetaG.M00418_MetaB.MEgreen	0.885	0.00394
MetaG.M00436_MetaB.MEtan4	0.885	0.00339
MetaG.M00439_MetaB.MEmidnightblue	0.885	0.00335
MetaG.M00500_MetaB.MEorange	0.885	0.00475
MetaG.M00500_MetaB.MEtan4	0.885	-0.0017
