Treat_Mediator_Y	ACME.p	prop.mediated
MetaB.MEcoral_HostT.MEroyalblue	0.007	0.755
MetaB.MEdarkorange2_HostT.MEblack	0.007	0.786
MetaB.MEgreen_HostT.MEpowderblue	0.007	-0.194
MetaB.MEmidnightblue_HostT.MEburlywood4	0.007	0.694
MetaB.MEpalevioletred3_HostT.MEburlywood4	0.007	0.499
MetaB.MEpalevioletred3_HostT.MEpaleturquoise1	0.007	0.408
MetaB.MEantiquewhite2_HostT.MEbrown2	0.008	0.119
MetaB.MEblue2_HostT.MEorchid2	0.008	0.41
MetaB.MEcoral_HostT.MEburlywood4	0.008	0.2993
MetaB.MEcoral_HostT.MEpalegreen	0.008	0.3434
MetaB.MEgreen_HostT.MEbrown2	0.008	-0.325
MetaB.MEgreen_HostT.MEcyan4	0.008	-0.387
MetaB.MEorange_HostT.MEburlywood4	0.008	-0.568
MetaB.MEdarkorange2_HostT.MEfloralwhite.1	0.009	0.886
MetaB.MEmidnightblue_HostT.MEolivedrab1	0.009	0.522
MetaB.MEgreen_HostT.MEroyalblue	0.01	-0.144
MetaB.MEpalevioletred3_HostT.MEturquoise1	0.01	0.279075205
MetaB.MEtan4_HostT.MEbrown2	0.01	-0.137
MetaB.MEantiquewhite2_HostT.MEpaleturquoise1	0.011	0.266
MetaB.MEantiquewhite2_HostT.MEroyalblue	0.011	1.45
MetaB.MEdarkorange_HostT.MEpowderblue	0.011	0.877
MetaB.MEdarkorange_HostT.MEtan1	0.011	1.1
MetaB.MEdarkorange2_HostT.MEorchid2	0.011	0.414
MetaB.MEdarkred_HostT.MEburlywood4	0.011	-0.409
MetaB.MElightcoral_HostT.MEgrey	0.0124	1.38
MetaB.MEblack_HostT.MEorchid2	0.013	0.391
MetaB.MEcoral_HostT.MEpaleturquoise1	0.013	0.331
MetaB.MEmidnightblue_HostT.MEgrey	0.013	0.146367089
MetaB.MEblack_HostT.MEbrown2	0.014	0.180492033
MetaB.MEblack_HostT.MEdarkgrey	0.014	0.223183321
MetaB.MEdarkred_HostT.MEturquoise1	0.014	-0.249
MetaB.MEcoral_HostT.MEgrey	0.0148	0.718
MetaB.MEantiquewhite2_HostT.MEtan1	0.015	1.156
MetaB.MEblue2_HostT.MEroyalblue	0.015	1.1
MetaB.MEdarkorange_HostT.MEcyan4	0.015	0.587
MetaB.MEindianred4_HostT.MElavenderblush3.1	0.015	-0.768
MetaB.MEmidnightblue_HostT.MEroyalblue	0.015	1.45
MetaB.MEorange_HostT.MEbrown2	0.015	-0.335
MetaB.MEpalevioletred3_HostT.MEsnow2	0.015	0.742
MetaB.MEpalevioletred3_HostT.MEsnow4	0.0152	0.116876396
MetaB.MEdarkorange_HostT.MEpalegreen	0.018	0.499
MetaB.MEdarkorange2_HostT.MEolivedrab1	0.018	0.439
MetaB.MEpalevioletred3_HostT.MEolivedrab1	0.018	0.3222
MetaB.MEdarkorange_HostT.MEolivedrab1	0.019	0.462
MetaB.MEtan4_HostT.MEroyalblue	0.019	-0.224
MetaB.MEtan4_HostT.MEsnow2	0.019	-0.168
MetaB.MEblack_HostT.MEolivedrab1	0.02	0.378
MetaB.MEblack_HostT.MEsnow	0.02	0.201486597
MetaB.MEcoral3_HostT.MEblack	0.02	0.027
MetaB.MEdarkorange2_HostT.MEbrown2	0.02	0.323
MetaB.MEindianred4_HostT.MEdarkgrey	0.02	0.5051
MetaB.MElightcoral_HostT.MEpalegreen	0.02	0.543
MetaB.MEantiquewhite2_HostT.MElightblue4	0.021	0.109
MetaB.MElightcoral_HostT.MEolivedrab1	0.021	0.717
MetaB.MElightcoral_HostT.MEbrown2	0.022	0.5551
MetaB.MEorange_HostT.MEroyalblue	0.023	-0.726
MetaB.MEtan4_HostT.MEcyan4	0.023	-0.145
MetaB.MEblack_HostT.MEgrey	0.0236	0.110556962
MetaB.MEdarkred_HostT.MEpalegreen2	0.024	-0.32
MetaB.MEblue2_HostT.MEolivedrab1	0.025	0.393
MetaB.MEgreen_HostT.MEpalegreen	0.025	-0.124
MetaB.MEorange_HostT.MEsnow2	0.026	-0.624
MetaB.MEantiquewhite2_HostT.MEturquoise1	0.027	0.152
MetaB.MEblack_HostT.MEtan1	0.027	0.842
MetaB.MEcoral_HostT.MEfloralwhite.1	0.027	0.3031
MetaB.MEdarkorange2_HostT.MEpowderblue	0.027	0.874
MetaB.MEgreen_HostT.MEpaleturquoise1	0.027	-0.0565
MetaB.MEmidnightblue_HostT.MEbrown2	0.027	0.453
MetaB.MEtan4_HostT.MEpalegreen	0.027	-0.123
MetaB.MElightcoral_HostT.MEsnow	0.028	0.552
