#NAME	1004V4	1040V4	1107V4	C220V8	C402V8	C422V8	J095V4	K056V0	K072V0	K079V0	K083V0	K084V0	K085V0	K086V0	K096V0	K098V0	K100V0	K101V0	K105V0	K107V0	K110V0	K111V0	K112V0	K119V0	K121V0	K122V0	K131V0	K136V0	K138V0	K144V0	K147V0	K154V0	K155V0	K157V0	K169V0	K170V0	K171V0	K173V0	K174V0	K177V0	K179V0	K180V0	K182V0	K184V0	K188V0	S099V8	S106V8	X003V4	X004V4	C532V8	K003V4	K005V4	K019V4	K037V4	K054V0	K055V0	K057V0	K060V0	K194V0
NT-4	0	0	0	2.699746028	0	0	0	0	0	0	0	0	1.171439885	0	5.23898837	5.34144665	7.549060302	0	0	0	3.281124803	0	0	0	0	3.173671764	6.480460282	3.259881177	0	0	0	0	0	0	0	6.190836784	6.954745516	6.035353984	0	5.688192469	0	0	0	5.124574802	0	4.274100565	2.935473812	0	0	0	7.395554638	4.030866794	0	3.050265378	0	0	3.229942711	0	0
OPG	5.896039973	0	6.586289709	7.212318262	2.233511407	6.378529892	4.070153956	5.873715331	8.005524393	6.799102825	9.338828681	7.454020345	6.929686625	7.949315122	6.355182802	9.057559806	7.949476668	5.802649339	8.601049834	5.876235157	7.722990664	8.408968222	7.91809342	0	0	7.378374905	8.106737785	9.355813966	8.782589804	5.711535609	5.725259266	6.762961794	6.193064967	7.83775223	8.33463491	8.108246964	7.439423787	8.502467957	4.565213391	7.742093901	8.212179065	6.724636049	6.99870507	6.470173449	8.368644546	5.395927642	6.503525889	7.600566269	7.572431249	7.504499394	13.30740522	6.581297	7.656248245	6.350735713	5.909038924	5.213949744	6.005015718	8.285238695	7.098109666
PDGF-AA	8.041158612	6.608382511	7.596246625	7.287815602	8.092313793	7.913129677	6.906580179	7.945718472	6.491085101	7.94000569	8.08385464	7.4143312	8.21541232	7.385104536	8.072488315	9.186785497	7.463316287	8.24844461	8.521530737	7.488951092	7.798179878	7.416492426	8.178327964	7.004675502	6.093205245	8.66919084	5.040786182	8.189582582	7.713913859	7.342881383	7.019276513	7.848041762	7.093863714	7.901234522	7.27163615	7.863208274	6.388517206	8.465140566	7.207229639	7.916995772	7.515772552	7.51595238	8.413082015	7.729392371	7.73323392	8.28802988	7.699221818	7.244768835	7.730570439	7.978730076	9.223762242	8.338449908	7.80862006	7.86239744	7.474125867	7.344451657	8.89414127	9.065483071	8.669635418
PIGF	1.29663948	0	0	3.257423876	3.391502582	3.252139312	1.563526931	4.054792243	1.730012556	3.782676713	4.280001594	3.233418804	5.637555194	3.918522378	3.651304818	4.742065684	5.358586351	4.165429635	5.51549751	2.81926888	2.590604566	4.292653327	4.007958158	0	0	4.519716693	5.672242657	4.276159844	3.040451709	2.565391026	4.005632397	3.265046756	3.253092136	3.182313086	4.062370683	3.586680496	5.064672865	4.155189806	0	4.143828193	3.669263352	1.434209513	3.195619526	3.26711902	3.815661795	3.403035145	4.586993486	4.478503594	5.432717	4.567070648	6.543992159	3.661720244	2.598990973	3.653854676	2.710947121	0	4.124518166	4.470469584	3.940882036
SCF	0	0	0	5.200756065	0.408015367	3.457371888	3.908579957	3.621124469	0	5.121116301	6.458315158	4.444202949	3.93075778	4.909809013	5.837901721	5.619298549	4.083395965	0	3.590621585	4.880506843	3.252067659	6.834130814	6.333256995	4.785761177	4.428843833	4.541377139	5.158258949	5.508230553	3.866054974	4.064212195	5.377219534	0	1.608168451	3.327262584	2.706240583	4.0911469	6.202690939	3.60656822	0	5.983761719	4.507409309	4.812776053	3.971390905	5.039024157	4.719652285	4.904601995	5.404825569	0	0	4.141738734	8.066636848	4.740022736	5.984787139	5.362446964	4.833713644	0	5.569659866	5.939894465	5.571007098
SCF R	6.901133639	5.517589027	4.128939186	8.562568376	7.880825603	7.648155367	5.031117139	8.843822482	7.119992876	7.687754055	9.320512393	7.699889959	8.456258146	8.390357845	8.546347298	7.768517762	8.996561555	7.731059613	8.50379465	3.606562315	7.584573762	7.026024038	7.793926302	5.017306217	6.313516107	7.597404135	0	8.773554216	9.962936966	7.790174265	7.525713569	7.471245385	8.992648852	8.704853722	8.94431656	10.0258177	6.065634531	9.894810966	1.7053646	8.287456343	5.70776816	6.261383164	7.229511284	7.205115804	6.669558513	8.397439928	8.584139681	5.042999721	7.330187983	7.927620937	10.51937597	7.849232514	7.395678744	8.033379417	8.290358091	6.788359361	8.962699901	9.265635966	9.14917097
TGFa	6.334790634	5.215919834	6.516516816	9.895289985	6.590388472	7.795585628	5.419601298	8.115700287	8.2909674	7.017742055	8.684121103	7.048562096	7.98678124	8.52746745	8.234548979	7.914523679	7.835122704	6.392995759	8.173005939	6.21590247	9.372537079	7.789792183	8.089248812	5.519920245	7.393777532	8.791731337	7.321075328	8.501967704	7.427554137	6.483979617	6.396984878	8.52585381	7.867882855	8.337482479	7.682192358	7.721565202	8.21261232	7.974965866	6.606543643	8.385296082	10.07466957	6.811474608	9.070458512	8.223481916	8.963771732	7.619346846	6.69824617	7.817531253	9.03213492	8.060397039	12.48629961	6.910688666	7.733463699	6.30732821	6.742670729	7.01835813	7.388119574	9.025552182	7.515389992
TGFb1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.16422326	0	0	0	0	0	0	0	0
TGFb3	0	0	0	2.478657367	6.833770342	6.102679217	0	0	0	0	0	2.986526325	0	0	0	6.665257381	4.143582968	0	5.223044444	0	0	0	4.886284813	5.49091823	0	0	0	5.474059958	0	0	5.888371877	0	8.527460627	0	0	0	6.28854267	4.752112016	0	6.982482935	4.707752254	0	3.499961371	0	1.695119038	3.885340863	0	0	0	0	11.49556662	4.25419867	6.47527767	2.035745427	0	0	6.185086291	0	5.24421592
VEGF	9.368406151	8.196385533	9.030051329	10.69015273	8.970203291	9.442373124	8.713466235	9.661373301	9.804055437	9.839460725	11.08636361	9.586304533	10.36787988	10.59235148	9.921120003	10.86179529	10.4820209	9.358297252	10.38624161	9.079279369	10.24005844	10.42409392	10.06123315	8.512802063	8.86092435	10.50648556	9.187891988	10.39859009	10.62045954	8.781170342	9.283178889	10.00802805	9.023681834	9.344461345	9.300426063	10.52671955	9.528967522	10.62186313	8.957784477	10.23446494	10.76077305	9.805718151	10.10299878	9.570915366	10.69251207	9.647481345	9.337620577	9.626433969	10.50009667	10.04252906	10.83363474	9.530153773	9.767304701	9.04694278	9.126921568	8.787206167	9.817697384	10.41272892	10.42807064
